1.19.a    Auto    YES  Build & Run           Shared library must not be exported in ACE                              PASS    Required
1.2.a     Auto    YES  Build & Run           All IPs, including subIPs, must be uniquified                           FAIL    MustHave
1.20.a    Manual  YES  Build & Run           All workarounds tie-offs etc. for SoC reuse must be documented in I...  FAIL    Required
1.270.a   Manual  YES  Build & Run           IP must follow POR directory structure                                  FAIL    Required
1.316.a   Auto    YES  Build & Run           Verify IP is following the new ACE based CTECH methodology              PASS    Required
10.104.a  Auto    YES  MCP/FP                Fishtail passing ( Structural  , False Path/ Multy Cycle checks)        FAIL    MustHave
10.333.a  Manual  YES  MCP/FP                Fishtail passing waivers file provided                                  FAIL    MustHave
11.273.b  Manual  YES  RDL                   All TDRs and STF regs documented in RDL                                 FAIL    MustHave
11.347.a  Manual  YES  RDL                   [TAP] Proper Specification has been provided                            FAIL    Required
12.118.a  Auto    YES  Phys Design Enabling  Exceptions among clock groups should be described in global_cross_c...  PASS    MustHave
12.120.a  Auto    YES  Phys Design Enabling  Any custom synthesis flow recipes must be delivered with IP drop an...  FAIL    MustHave
12.124.a  Auto    YES  Phys Design Enabling  Provide timing reports for review and quality checking.                 PASS    Required
12.124.b  Auto    YES  Phys Design Enabling  Synthesis results meet timing requirements for drop                     PASS    Required
12.275.a  Auto    YES  Phys Design Enabling  check_mv_design is run and free of errors.Warnings are understood a...  PASS    Required
12.275.b  Auto    YES  Phys Design Enabling  Syn run with UPF enabled                                                PASS    Required
12.276.a  Auto    YES  Phys Design Enabling  All inputs and outputs must have IO delay constraints with correct ...  PASS    MustHave
12.277.a  Auto    YES  Phys Design Enabling  All constraint files follow standard KIT conventions                    PASS    Required
12.277.b  Manual  YES  Phys Design Enabling  All DFX MCOs written and implemented                                    FAIL    Required
12.277.c  Auto    YES  Phys Design Enabling  Clock name should be a tcl variable and not hard coded in all const...  PASS    Required
12.279.a  Auto    YES  Phys Design Enabling  Only CTECH cells on clock paths are allowed.                            PASS    MustHave
12.287.a  Auto    YES  Phys Design Enabling  All I/Os are flopped                                                    FAIL    Required
12.292.a  Manual  YES  Phys Design Enabling  Top-level port and parameter changes are defined between releases       FAIL    MustHave
12.293.a  Auto    YES  Phys Design Enabling  The current_design command or any procedure using current_design do...  PASS    Required
12.293.b  Auto    YES  Phys Design Enabling  IP synthesized per drop at converged PVT/Guardband                      PASS    Required
12.293.c  Auto    YES  Phys Design Enabling  The block_setup.tcl file is clean	                                      PASS    Required
12.293.d  Auto    YES  Phys Design Enabling  rtllist.tcl matches RTL and netlist                                     PASS    Required
12.293.e  Auto    YES  Phys Design Enabling  Syn run free of errors                                                  PASS    Required
12.293.f  Auto    YES  Phys Design Enabling  No unclocked registers in DC Synthesis results                          FAIL    Required
12.293.g  Auto    YES  Phys Design Enabling  Gate count numbers provided through design_qor report                   PASS    Required
12.6.a    Auto    YES  Phys Design Enabling  Must have a RTL list file for synthesis                                 PASS    Required
15.133.a  Manual  YES  Review                All functionality coded, including DFx, as defined in the appropria...  FAIL    MustHave
15.133.d  Manual  YES  Review                All STF IPs implemented as per HAS                                      FAIL    MustHave
15.133.h  Manual  YES  Review                DFt features in HAS coded and validated                                 FAIL    MustHave
15.133.i  Manual  YES  Review                All clocking requirements reviewed as per HAS                           FAIL    MustHave
15.148.a  Manual  YES  Review                IP uses HSD-ES setup for tracking bugs, PCRs, etc.                      FAIL    MustHave
15.150.a  Manual  YES  Review                NO-INIT signals/paths needed for X-prop and random corrupt modes (f...  FAIL    Required
15.159.a  Manual  YES  Review                Major areas of validation RISK from IP provider validation reviewed     FAIL    Required
15.160.a  Manual  YES  Review                New features and content changes from prior drop reviewed               FAIL    Required
15.164.a  Manual  YES  Review                Scalability modularity coded                                            FAIL    Required
15.266.a  Manual  YES  Review                Register IP in DSS, IRR drop uses naming convention based on DSS fi...  FAIL    Required
15.268.a  Manual  YES  Review                IP follows appropriate Chassis HAS requirements to be Chassis compl...  FAIL    Required
15.268.c  Manual  YES  Review                Chassis DFt HAS                                                         FAIL    Required
15.268.d  Manual  YES  Review                Chassis DFd HAS                                                         FAIL    Required
15.268.f  Manual  YES  Review                Chassis Security HAS                                                    FAIL    Required
15.268.g  Manual  YES  Review                Chassis Clocking HAS                                                    FAIL    Required
15.268.h  Manual  YES  Review                Chassis Reset HAS                                                       FAIL    Required
15.268.i  Manual  YES  Review                Chassis GPIO HAS                                                        FAIL    Required
15.47.a   Manual  YES  Review                Clocks and resets are defined only in interfaces                        FAIL    Required
15.47.b   Manual  YES  Review                Resets not tied off                                                     FAIL    Required
15.47.c   Manual  YES  Review                All Clock and Reset mechanisms defined                                  FAIL    Required
15.77.a   Manual  YES  Review                Commit dates for all IP drops established                               FAIL    MustHave
15.8.a    Auto    YES  Review                IP defined BFM and Environment versions are compared against the So...  PASS    Required
15.9.a    Auto    YES  Review                IP defined Tool versions are compared against the SoCs versions         FAIL    Required
17.171.a  Auto    YES  RTL+Lint              Lintra reports are clean                                                PASS    MustHave
17.172.a  Auto    YES  RTL+Lint              Lintra waiver files are available in tools/lint directory               PASS    MustHave
17.173.a  Auto    YES  RTL+Lint              Waiver files are NOT applied to all files, but only to files in the IP  PASS    Required
17.3.a    Auto    YES  RTL+Lint              Lintra waiver file names are uniquified with [alias]_ prefix            PASS    Required
17.320.a  Manual  YES  RTL+Lint              IP Lintra run(s) must be reproducible on the same content IP was de...  FAIL    MustHave
17.324.a  Auto    YES  RTL+Lint              Lintra must use the converged rule set                                  FAIL    MustHave
17.342.a  Auto    YES  RTL+Lint              Lintra Open Latch check must be run and violations report should be...  FAIL    MustHave
17.4.a    Auto    YES  RTL+Lint              Lintra waiver ID names are uniq to the IP                               PASS    Required
18.295.a  Auto    YES  Security              Security Risk Assessment (SRA) is completed                             PASS    Required
18.296.a  Manual  YES  Security              SRA results have been added to the security section in the IPs Arch...  FAIL    Required
18.298.a  Manual  YES  Security              Architecture security review completed according to the SDL activit...  FAIL    Required
18.300.a  Manual  YES  Security              Design security review completed according to the SDL activities li...  FAIL    Required
19.135.a  Manual  YES  Simulation            All IP Providers are required to run VCS XPROP                          FAIL    Required
19.180.a  Auto    YES  Simulation            Required ACE libraries are exported                                     PASS    Required
19.180.b  Auto    YES  Simulation            RTL library should not have dependency on rtl_shared_lib                PASS    Required
19.180.c  Auto    YES  Simulation            ACE RTL HDL file must have power statements                             PASS    Required
19.180.d  Auto    YES  Simulation            IP package does not contain local and un-accessible files               PASS    Required
19.181.a  Manual  YES  Simulation            DFT:  Satisfy Design for Test features verification requirements fo...  FAIL    Required
19.181.b  Manual  YES  Simulation            DFT:  Satisfy Design for Test features verification requirements fo...  FAIL    Required
19.182.a  Manual  YES  Simulation            DFV: Satisfy Design for Validation features verification requiremen...  FAIL    Required
19.182.b  Manual  YES  Simulation            DFV: Satisfy Design for Validation features verification requiremen...  FAIL    Required
19.183.a  Manual  YES  Simulation            Coverage plan (including code/functional targets) defined and appro...  FAIL    Required
19.183.b  Manual  YES  Simulation            Achieve net coverage of 50%                                             FAIL    Required
19.183.c  Manual  YES  Simulation            Achieve net coverage of 85%                                             FAIL    Required
19.187.a  Manual  YES  Simulation            RESET: Satisfy IP Reset Verification requirements for RTL0.5            FAIL    MustHave
19.187.b  Manual  YES  Simulation            RESET: Satisfy IP Reset Verification requirements for RTL0.8            FAIL    MustHave
19.191.a  Manual  YES  Simulation            VCS-NLP Power aware Simulation per Simulation Checklist for RTL0.5      FAIL    Required
19.191.b  Manual  YES  Simulation            POWER: Satisfy Power Verification requirements for RTL0.8               FAIL    Required
2.309.a   Auto    YES  CDC                   QuestaCDC input/output collateral delivered                             FAIL    MustHave
2.310.a   Auto    YES  CDC                   CdcLint must be run and results clean                                   FAIL    MustHave
20.196.a  Manual  YES  SV TB                 Coverage coded                                                          FAIL    MustHave
20.196.b  Auto    YES  SV TB                 Coverage coded - pointer provided                                       FAIL    MustHave
20.197.a  Manual  YES  SV TB                 Must deliver verification collateral conforms to guidelines in OVM ...  FAIL    MustHave
20.198.a  Manual  YES  SV TB                 Delivered verification collateral conforms to guidelines in Saola C...  FAIL    MustHave
20.199.a  Manual  YES  SV TB                 Delivered verification collateral conforms to guidelines in Test Is...  FAIL    MustHave
20.211.a  Manual  YES  SV TB                 Must provide Test list with integration power stress tests for POWE...  FAIL    MustHave
20.211.b  Auto    YES  SV TB                 Must provide Power Stress test(s)                                       FAIL    MustHave
20.212.a  Manual  YES  SV TB                 Must provide Test list with integration tests for USE CASE testing ...  FAIL    MustHave
20.212.b  Auto    YES  SV TB                 Must provide USE CASE test(s)                                           FAIL    MustHave
20.213.a  Manual  YES  SV TB                 Must provide Test list with integration tests for use in PERFORMANC...  FAIL    MustHave
20.213.b  Auto    YES  SV TB                 Must provide Performance test(s)                                        FAIL    MustHave
20.214.a  Manual  YES  SV TB                 IP-level test coded                                                     FAIL    MustHave
20.214.b  Auto    YES  SV TB                 Must provide IP Level test(s)                                           FAIL    MustHave
20.214.c  Manual  YES  SV TB                 Pre-Si Software (PSS)  features mst be coded and tests passing          FAIL    MustHave
20.214.d  Manual  YES  SV TB                 Must provide Stand alone Pre-Si Software (PSS) tests                    FAIL    MustHave
20.215.a  Manual  YES  SV TB                 IP-level tests passing                                                  FAIL    MustHave
20.215.b  Auto    YES  SV TB                 Must provide IP level tests passing                                     FAIL    MustHave
20.217.a  Auto    YES  SV TB                 RAL adaptor sequences exist                                             FAIL    MustHave
20.221.a  Auto    YES  SV TB                 Test island and re-usable verification collateral must not contain ...  FAIL    MustHave
20.226.a  Manual  YES  SV TB                 Stand alone integration test (data flow, connectivity)                  FAIL    MustHave
20.226.b  Auto    YES  SV TB                 Directory or file for reference of stand alone integration test         FAIL    MustHave
20.227.a  Auto    YES  SV TB                 Test island does not have hard coded paths                              FAIL    MustHave
20.228.a  Auto    YES  SV TB                 Test island does not use hard code hierarchical refs                    FAIL    MustHave
20.231.a  Auto    YES  SV TB                 End-to-end scoreboard that is independent of the other VC component...  FAIL    MustHave
20.232.a  Manual  YES  SV TB                 VIP scoreboards, assertions must be delivered and documented            FAIL    MustHave
20.267.a  Manual  YES  SV TB                 All the error waivers and disable calls are in one place                FAIL    Required
20.267.b  Auto    YES  SV TB                 Directory or single file for error waivers and disable calls            FAIL    Required
20.343.a  Manual  YES  SV TB                 1) IP must run Saola Generic attribute RAL sequence for Functional ...  FAIL    Required
21.341.a  Manual  YES  VISA                  VISA source clocks cannot be faster than the VISA common clock of t...  FAIL    MustHave
24.130.a  Manual  YES  Power                 UPF including sub blocks using load_upf                                 FAIL    MustHave
24.131.a  Auto    YES  Power                 Spyglass LP waiver files must exist                                     FAIL    MustHave
24.131.b  Auto    YES  Power                 Spyglass LP report files must exist                                     PASS    MustHave
24.131.c  Auto    YES  Power                 Spyglass LP waiver files must exist and are uniquified with [ip]_ p...  FAIL    MustHave
24.131.d  Auto    YES  Power                 Spyglass LP report files must exist and are clean                       PASS    MustHave
24.302.a  Manual  YES  Power                 Power Enable and acknoledgement port names defined                      FAIL    Required
24.306.a  Manual  YES  Power                 Early UPF requirements met: Power State Table, Power Domain, and St...  FAIL    Required
24.306.b  Manual  YES  Power                 UPF file(s) are appropriate for SoC                                     FAIL    Required
24.306.c  Auto    YES  Power                 inspectUPF run and is clean                                             FAIL    Required
24.306.d  Manual  YES  Power                 UPF requirements met                                                    FAIL    Required
24.312.a  Manual  YES  Power                 All Power intent Collateral Exists                                      FAIL    Required
24.330.a  Manual  YES  Power                 Power estimation generation must be done using PowerArtist for SIP ...  FAIL    Required
24.351.a  Auto    YES  Power                 [Power Rollup] IP data drop meets HAS power milestone target            FAIL    Required
24.352.a  Auto    YES  Power                 Deliver power template with per-rail state-based IP power numbers       FAIL    Required
3.327.a   Manual  YES  Collage               Define IP Clock Pins along with their properties in the IP build sc...  FAIL    Required
3.328.a   Manual  YES  Collage               Define Interface to clock association in the IP build script on IOS...  FAIL    Required
3.44.a    Manual  YES  Collage               coreKit must be checked against the RTLto match all pin names and d...  FAIL    MustHave
3.45.a    Auto    YES  Collage               IP coreKit must exist                                                   PASS    MustHave
3.48.a    Auto    YES  Collage               IPmust provide Collage Builder script                                   PASS    MustHave
3.49.a    Auto    YES  Collage               Must provide collage summary report                                     FAIL    Required
3.50.a    Auto    YES  Collage               Must provide collage warning report                                     FAIL    Required
3.51.e    Auto    YES  Collage               ISM interface pins must be mapped to Collage IOSF ISM standard inte...  FAIL    Required
3.51.h    Auto    YES  Collage               DFXSECUREPLUGIN interface pins must be mapped to Collage IOSF DFXSE...  FAIL    Required
4.167.a   Manual  YES  DFt                   [SCAN] All internally generated clocks must be pulled to the top le...  FAIL    MustHave
4.325.a   Auto    YES  DFt                   [Array] BIST_WRAPPER (CO-LOCATION_WRAPPER) must contain all require...  FAIL    Required
4.62.a    Manual  YES  DFt                   DFT BSDL files for boundary scan                                        FAIL    MustHave
4.63.a    Manual  YES  DFt                   Sample Trigger SEQUENCE(s)/TEST(s) delivered (for IPs connected to ...  FAIL    Required
4.66.a    Auto    YES  DFt                   [SECURITY] Secure plugin instantiated as part of the IP deliverable     FAIL    MustHave
4.90.a    Manual  YES  DFt                   Provide array details for IP                                            FAIL    MustHave
5.81.a    Auto    YES  Documentation         HAS delivered, follows template                                         FAIL    MustHave
5.83.a    Auto    YES  Documentation         Integration guide delivered, follows template                           FAIL    MustHave
5.86.a    Auto    YES  Documentation         Must use the required documentation process                             FAIL    Required
5.88.a    Auto    YES  Documentation         Product Brief delivered, and must follow template                       FAIL    Required
5.91.a    Manual  YES  Documentation         Release notes exist                                                     FAIL    MustHave
5.93.a    Manual  YES  Documentation         Top level port list complete                                            FAIL    Required
5.94.a    Auto    YES  Documentation         Verification References delivered, follows template                     FAIL    MustHave
5.94.b    Manual  YES  Documentation         Support for PSS features documented in test plan                        FAIL    MustHave
6.314.a   Auto    YES  Emulation/FPGA        RTL, UPF and related collaterals must pass FPGA checks                  PASS    MustHave
6.321.a   Auto    YES  Emulation/FPGA        RTL, UPF and related collaterals must pass Veloce Emulation Checks.     FAIL    MustHave
6.95.a    Auto    YES  Emulation/FPGA        RTL, UPF and related collaterals must pass Zebu Emulation Checks,       PASS    MustHave
6.97.a    Manual  YES  Emulation/FPGA        Ensure that Emulation-FPGA specific FW (applicable to IP with micro...  FAIL    MustHave
7.100.a   Auto    YES  FEV                   LEC scripts and constraints must exist                                  PASS    Required
7.100.b   Auto    YES  FEV                   FEV LEC log run results and do file consistent                          PASS    Required
7.101.a   Auto    YES  FEV                   Make sure set undriven to constant is not in the FEV do file.           PASS    Required
7.101.b   Auto    YES  FEV                   FEV LEC run not using set undriven to constant.                         FAIL    Required
7.102.a   Auto    YES  FEV                   A report on undriven pins/nets is provided                              FAIL    Required
7.274.a   Auto    YES  FEV                   Verify .do files do not have -define DC in read_library and read_de...  PASS    MustHave
7.274.b   Auto    YES  FEV                   Synth and Sythesis not defined for FEV                                  PASS    MustHave
7.308.a   Auto    YES  FEV                   FEV must be run with UPF                                                FAIL    Required
7.348.a   Manual  YES  FEV                   Golden side compilation should use –functiondefault Z during read d...  FAIL    Required
7.98.a    Auto    YES  FEV                   LEC reports must exist                                                  FAIL    MustHave
7.98.b    Auto    YES  FEV                   FEV lec.log file must exists                                            PASS    MustHave
7.99.a    Auto    YES  FEV                   LEC must be clean at the level of synthesis                             FAIL    Required
7.99.b    Auto    YES  FEV                   LEC must run at the level of synthesis                                  PASS    Required


 Override File Contents =
; Legacy file created by preZirconQA
acedir               cfg
aceudffiles          ^globalclk_hdl\.udf$ ^globalclk_local_ivars\.udf$ ^globalclk\.udf$
aceudfmodel          pccdu
aceverdilogfile      globalclk.bman.globalclk.verdi.vericom_gclk_pccdu_rtl_lib.log
acevcslogfile         globalclk.bman.globalclk.verdi.vericom_gclk_pccdu_rtl_lib.log
acetoprtllib         gclk_pccdu_rtl_lib
acertlexplibs        ^gclk_pccdu_rtl_lib$
notusingsubip        1
subipexcfile        gclk_clkreqaggr_map
collagedir           target/collage/work/pccdu
collagebldscrdir     tools/collage/build
collagebldscrfile    builder.pccdu.tcl
collagesumrptfile    pccdu.build.summary
collagewarnrptfile   pccdu.build.warning
topcorekit           gclk_pccdu.coreKit
rtltopfile           src/rtl/clkdist/gclk_pccdu.sv
lintrawaiverprefix   pccdu
lintrawaiverfileprefix pccdu
lintradir            tools/lintra/waivers/pccdu
lintraxmlfile        target/lint/gclk_pccdu/gclk_pccdu_violations.xml
lintrarptfile        target/lint/gclk_pccdu/gclk_pccdu.log
leccmprptfile        target/globalclk/aceroot/results/DC/gclk_pccdu/fev/LEC.cfm/reports/summary.1.txt
rtlrptdir            target/log
verdirptdir          target/log
iptoolfilepath       scripts/toolfile.dat
soctoolfilepath      /p/hdk/rtl/proj_data/shdk74/fe_data/dat_files/tfm_0p5_chassis.dat
subipexprs           ^gclk
emuldir              target/emu/pccdu/emul
emullog              emul_build_soc_status.log
spyglasslpoutputdir target/globalclk/SG/sglp/pccdu/gclk_pccdu/consolidated_reports/gclk_pccdu_power_verif_noninstr/
synreportsdir        target/globalclk/aceroot/results/DC/gclk_pccdu/syn/reports
synreportfile        gclk_pccdu.syn_final.design_qor
synscriptsdir        tools/syn/gclk_pccdu/scripts
rtllistdir           target/globalclk/aceroot/results/DC/gclk_pccdu/collateral/rtl
rdtsynsummaryfile    target/globalclk/aceroot/results/DC/gclk_pccdu/syn/reports/gclk_pccdu.syn_final.ipds.summary
syninputsdir         tools/syn/gclk_pccdu/inputs
synscriptsexc        syn_setup additional_upf_setup
lecdir               target/globalclk/aceroot/results/DC/gclk_pccdu/fev
lecundrptfile     target/globalclk/aceroot/results/DC/gclk_pccdu/fev/reports/gclk_pccdu.undriven.notmapped.golden.rpt


 Applicability File Contents =
None

           IP = SDGCLKDIST
      Project = FoxRiverHFIStormLake2
    Variation = psyncdist
    Milestone = RTL0P8
 Rule version = 2.08.00
Applicability = SIP
         Date = Wed Jul 27 21:03:32 2016
         User = prbhatt

 Override File = /nfs/sc/disks/sdg74_1110/prbhatt/globalclk-0p8zircon/tools/zirconqa/inputs/psyncdist_override_2.08.00.dat
 Applicability Questionnaire File = tools/zirconqa/inputs/psyncdist_applicability_2.08.00.dat
 Total of related N/A rules according to AppQuestionnaire File = 115

Note: N/A - Approved waiver of type N/A
Note: WAIVER ## - Approved waiver
Note: Total Rules Run excludes the N/A approved/pending/denied waivers

Category                 Pass  Fail        Approved Waivers  Pending Waivers  Denied Waivers  Approved N/A  Pending N/A  Denied N/A  Total Rules Run
-----------------------------------------------------------------------------------------------------------------------------------------------------
1 Build & Run            5     MH:3,R:3    MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    11
10 MCP/FP                0     MH:2,R:0    MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    2
11 RDL                   0     MH:1,R:1    MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    2
12 Phys Design Enabling  17    MH:2,R:2    MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    21
15 Review                1     MH:6,R:16   MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    23
17 RTL+Lint              5     MH:3,R:0    MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    8
18 Security              1     MH:0,R:3    MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    4
19 Simulation            4     MH:2,R:10   MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    16
2 CDC                    0     MH:2,R:0    MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    2
20 SV TB                 0     MH:25,R:3   MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    28
21 VISA                  0     MH:1,R:0    MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    1
24 Power                 2     MH:3,R:9    MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    14
3 Collage                2     MH:1,R:6    MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    9
4 DFt                    0     MH:4,R:2    MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    6
5 Documentation          0     MH:5,R:3    MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    8
6 Emulation/FPGA         2     MH:2,R:0    MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    4
7 FEV                    7     MH:1,R:5    MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    13
-----------------------------------------------------------------------------------------------------------------------------------------------------
Total                    46    MH:63,R:63  MH:0,R:0          MH:0,R:0         MH:0,R:0        MH:0,R:0      MH:0,R:0     MH:0,R:0    172
-----------------------------------------------------------------------------------------------------------------------------------------------------

IPDS Score: 9%

Note: AUTO RULES SUMMARY: Pass: 46, Fail MH:28,R:18, Approved Waivers MH:0,R:0, Pending Waivers MH:0,R:0, Denied Waivers MH:0,R:0,  Approved N/A MH:0,R:0, Pending N/A MH:0,R:0, Denied N/A MH:0, R:0, Total: 92
Note: MANUAL RULES SUMMARY: Pass: 0, Fail MH:35,R:45, Approved Waivers MH:0,R:0, Pending Waivers MH:0,R:0,  Denied Waivers MH:0,R:0, Approved N/A MH:0,R:0, Pending N/A MH:0,R:0, Denied N/A MH:0,R:0, Total: 80

Auto Rules OVERRIDDEN to Manual
--------------------------------------------------------------------------------
Category  Rule  Name  Manual Result  Priority
----------------------------------------------
None

Rule      Type    POR  Category              Name                                                                    Result  Priority
--------------------------------------------------------------------------------------------------------------------------------------
1.10.a    Auto    YES  Build & Run           ACE required libraries must exist                                       PASS    Required
1.11.a    Auto    YES  Build & Run           ACE UDF contents must be re-usable                                      PASS    MustHave
1.12.a    Auto    YES  Build & Run           ACE support for power aware simulation must exist                       PASS    Required
1.14.a    Auto    YES  Build & Run           ACE VCS compilation must be clean                                       FAIL    MustHave
1.15.a    Auto    YES  Build & Run           ACE Verdi compilation must be clean                                     FAIL    Required
1.16.a    Manual  YES  Build & Run           Integration test list containing reusable tests for SoC integration...  FAIL    MustHave
1.19.a    Auto    YES  Build & Run           Shared library must not be exported in ACE                              PASS    Required
1.2.a     Auto    YES  Build & Run           All IPs, including subIPs, must be uniquified                           FAIL    MustHave
1.20.a    Manual  YES  Build & Run           All workarounds tie-offs etc. for SoC reuse must be documented in I...  FAIL    Required
1.270.a   Manual  YES  Build & Run           IP must follow POR directory structure                                  FAIL    Required
1.316.a   Auto    YES  Build & Run           Verify IP is following the new ACE based CTECH methodology              PASS    Required
10.104.a  Auto    YES  MCP/FP                Fishtail passing ( Structural  , False Path/ Multy Cycle checks)        FAIL    MustHave
10.333.a  Manual  YES  MCP/FP                Fishtail passing waivers file provided                                  FAIL    MustHave
11.273.b  Manual  YES  RDL                   All TDRs and STF regs documented in RDL                                 FAIL    MustHave
11.347.a  Manual  YES  RDL                   [TAP] Proper Specification has been provided                            FAIL    Required
12.118.a  Auto    YES  Phys Design Enabling  Exceptions among clock groups should be described in global_cross_c...  PASS    MustHave
12.120.a  Auto    YES  Phys Design Enabling  Any custom synthesis flow recipes must be delivered with IP drop an...  FAIL    MustHave
12.124.a  Auto    YES  Phys Design Enabling  Provide timing reports for review and quality checking.                 PASS    Required
12.124.b  Auto    YES  Phys Design Enabling  Synthesis results meet timing requirements for drop                     PASS    Required
12.275.a  Auto    YES  Phys Design Enabling  check_mv_design is run and free of errors.Warnings are understood a...  PASS    Required
12.275.b  Auto    YES  Phys Design Enabling  Syn run with UPF enabled                                                PASS    Required
12.276.a  Auto    YES  Phys Design Enabling  All inputs and outputs must have IO delay constraints with correct ...  PASS    MustHave
12.277.a  Auto    YES  Phys Design Enabling  All constraint files follow standard KIT conventions                    PASS    Required
12.277.b  Manual  YES  Phys Design Enabling  All DFX MCOs written and implemented                                    FAIL    Required
12.277.c  Auto    YES  Phys Design Enabling  Clock name should be a tcl variable and not hard coded in all const...  PASS    Required
12.279.a  Auto    YES  Phys Design Enabling  Only CTECH cells on clock paths are allowed.                            PASS    MustHave
12.287.a  Auto    YES  Phys Design Enabling  All I/Os are flopped                                                    FAIL    Required
12.292.a  Manual  YES  Phys Design Enabling  Top-level port and parameter changes are defined between releases       FAIL    MustHave
12.293.a  Auto    YES  Phys Design Enabling  The current_design command or any procedure using current_design do...  PASS    Required
12.293.b  Auto    YES  Phys Design Enabling  IP synthesized per drop at converged PVT/Guardband                      PASS    Required
12.293.c  Auto    YES  Phys Design Enabling  The block_setup.tcl file is clean	                                      PASS    Required
12.293.d  Auto    YES  Phys Design Enabling  rtllist.tcl matches RTL and netlist                                     PASS    Required
12.293.e  Auto    YES  Phys Design Enabling  Syn run free of errors                                                  PASS    Required
12.293.f  Auto    YES  Phys Design Enabling  No unclocked registers in DC Synthesis results                          PASS    Required
12.293.g  Auto    YES  Phys Design Enabling  Gate count numbers provided through design_qor report                   PASS    Required
12.6.a    Auto    YES  Phys Design Enabling  Must have a RTL list file for synthesis                                 PASS    Required
15.133.a  Manual  YES  Review                All functionality coded, including DFx, as defined in the appropria...  FAIL    MustHave
15.133.d  Manual  YES  Review                All STF IPs implemented as per HAS                                      FAIL    MustHave
15.133.h  Manual  YES  Review                DFt features in HAS coded and validated                                 FAIL    MustHave
15.133.i  Manual  YES  Review                All clocking requirements reviewed as per HAS                           FAIL    MustHave
15.148.a  Manual  YES  Review                IP uses HSD-ES setup for tracking bugs, PCRs, etc.                      FAIL    MustHave
15.150.a  Manual  YES  Review                NO-INIT signals/paths needed for X-prop and random corrupt modes (f...  FAIL    Required
15.159.a  Manual  YES  Review                Major areas of validation RISK from IP provider validation reviewed     FAIL    Required
15.160.a  Manual  YES  Review                New features and content changes from prior drop reviewed               FAIL    Required
15.164.a  Manual  YES  Review                Scalability modularity coded                                            FAIL    Required
15.266.a  Manual  YES  Review                Register IP in DSS, IRR drop uses naming convention based on DSS fi...  FAIL    Required
15.268.a  Manual  YES  Review                IP follows appropriate Chassis HAS requirements to be Chassis compl...  FAIL    Required
15.268.c  Manual  YES  Review                Chassis DFt HAS                                                         FAIL    Required
15.268.d  Manual  YES  Review                Chassis DFd HAS                                                         FAIL    Required
15.268.f  Manual  YES  Review                Chassis Security HAS                                                    FAIL    Required
15.268.g  Manual  YES  Review                Chassis Clocking HAS                                                    FAIL    Required
15.268.h  Manual  YES  Review                Chassis Reset HAS                                                       FAIL    Required
15.268.i  Manual  YES  Review                Chassis GPIO HAS                                                        FAIL    Required
15.47.a   Manual  YES  Review                Clocks and resets are defined only in interfaces                        FAIL    Required
15.47.b   Manual  YES  Review                Resets not tied off                                                     FAIL    Required
15.47.c   Manual  YES  Review                All Clock and Reset mechanisms defined                                  FAIL    Required
15.77.a   Manual  YES  Review                Commit dates for all IP drops established                               FAIL    MustHave
15.8.a    Auto    YES  Review                IP defined BFM and Environment versions are compared against the So...  PASS    Required
15.9.a    Auto    YES  Review                IP defined Tool versions are compared against the SoCs versions         FAIL    Required
17.171.a  Auto    YES  RTL+Lint              Lintra reports are clean                                                PASS    MustHave
17.172.a  Auto    YES  RTL+Lint              Lintra waiver files are available in tools/lint directory               PASS    MustHave
17.173.a  Auto    YES  RTL+Lint              Waiver files are NOT applied to all files, but only to files in the IP  PASS    Required
